movieID,Title,Runtime,Director,Writer,Actors,Release Date,Netflix Release Date,Production House
56,Default,1-2 hour,Kook-Hee Choi,Seong-min Eom,"Woo-jin Jo, Yoo Ah-In, Joon-ho Huh, Kim Hye-su",28-11-2018,28-02-2021,
57,The Big Shot,1-2 hour,Lewis Seiler,"Bertram Millhauser, Abem Finkel, Daniel Fuchs","Humphrey Bogart, Richard Travis, Irene Manning, Susan Peters",13-06-1942,28-02-2021,
58,Angels Time,1-2 hour,,"Joss Whedon, David Greenwalt","J. August Richards, Alexis Denisof, Charisma Carpenter, David Boreanaz",05-10-1999,28-02-2021,
59,The Accidental Detective 2: In Action,1-2 hour,Eon-hie Lee,Han-Jin Jung,"Yeong-hie Seo, Dong-il Sung, Sang-Woo Kwon, Sung-je Cha",22-06-2018,28-02-2021,
60,12 Feet Deep,1-2 hour,Matt Eskandari,"Michael Hultquist, Matt Eskandari","Nora-Jane Noone, Christian Kain Blackburn, Diane Farr, Alexandra Park",20-06-2017,28-02-2021,
61,1987: When the Day Comes,> 2 hrs,Joon-Hwan Jang,Kyung-chan Kim,"Jung-woo Ha, Kim Yoon-seok, Hae-Jin Yoo, Kim Tae-ri",12-01-2018,28-02-2021,
62,The Girl on the Train,> 2 hrs,Tate Taylor,"Erin Cressida Wilson, Paula Hawkins","Haley Bennett, Emily Blunt, Rebecca Ferguson, Justin Theroux",07-10-2016,27-02-2021,"Sony Classical, Universal Pictures, Reliance Entertainment, Marc Platt Productions"
63,Ride Your Wave,1-2 hour,Masaaki Yuasa,Reiko Yoshida,"Kentaro Ito, Rina Kawaei, Honoka Matsumoto, Ryôta Katayose",19-02-2020,26-02-2021,
64,Baumbacher Syndrome,1-2 hour,Gregory Kirchhoff,Gregory Kirchhoff,"László Branko Breiding, Ingvild Deila, Elit Iscan, Kaweh Modiri",20-01-2021,26-02-2021,
65,La Palma,1-2 hour,Erec Brehmer,"Erec Brehmer, Britta Schwem","Marleen Lohse, Dani Alvarez, Daniel Sträßer, Jesper Ankarfeldt",04-06-2020,26-02-2021,
66,Geez & Ann,1-2 hour,,,"J. Adams, Angela Adams",22-06-2012,26-02-2021,
67,Capone,1-2 hour,Josh Trank,Josh Trank,"Matt Dillon, Tom Hardy, Al Sapienza, Linda Cardellini",12-05-2020,25-02-2021,
68,The Last Bastion,< 30 minutes,,,"Bill Hunter, Phil Perman, Ron Blanchard, Colin McEwan",06-11-1984,25-02-2021,
69,Princess Principal,< 30 minutes,,,"Akari Kageyama, Ayaka Imamura, Akira Sekine, You Taichi",09-07-2017,24-02-2021,
70,Above Suspicion,1-2 hour,Phillip Noyce,"Joe Sharkey, Chris Gerolmo","Jack Huston, Johnny Knoxville, Emilia Clarke, Sophie Lowe",13-11-2020,24-02-2021,
71,A Call to Spy,> 2 hrs,Lydia Dean Pilcher,Sarah Megan Thomas,"Radhika Apte, Linus Roache, Sarah Megan Thomas, Stana Katic",02-10-2020,23-02-2021,
72,Red,> 2 hrs,Robert Schwentke,"Jon Hoeber, Erich Hoeber, Cully Hamner, Warren Ellis","Bruce Willis, Mary-Louise Parker, Jefferson Brown, Heidi von Palleske",15-10-2010,23-02-2021,Di Bonaventura Pictures
73,Made You Look: A True Story About Fake Art,1-2 hour,Barry Avrich,"Melissa Hood, Barry Avrich","Domenico De Sole, Patty Cohen, José Carlos Bergantiños Díaz, Jack Flam",23-02-2021,23-02-2021,
74,Chihayafuru,< 30 minutes,,,"Tôru Nara, Ai Kayano, Mamoru Miyano, Asami Seto",05-10-2011,21-02-2021,
75,Classmates Minus,> 2 hrs,Hsin-yao Huang,Hsin-yao Huang,"Na-Dou Lin, Kuan-Ting Liu, Ming-Shuai Shih, Jen-Shuo Cheng",20-02-2021,21-02-2021,
76,Oh My JUMP!,< 30 minutes,,,"Atsushi Itô, Rina Ikoma, Kendô Kobayashi, Toru Baba",13-01-2018,20-02-2021,
77,The Mole Agent,1-2 hour,Maite Alberdi,Maite Alberdi,"Petronila Abarca, Zoila Gonzalez, Sergio Chamy, Romulo Aitken",01-09-2020,20-02-2021,
78,The Loop,1-2 hour,,"Will Gluck, Pam Brady","Eric Christian Olsen, Bret Harrison, Philip Baker Hall, Mimi Rogers",,20-02-2021,
79,I Care a Lot,1-2 hour,J Blakeson,J Blakeson,"Peter Dinklage, Eiza González, Dianne Wiest, Rosamund Pike",19-02-2021,20-02-2021,
80,Burden,1-2 hour,Andrew Heckler,Andrew Heckler,"Andrea Riseborough, Tom Wilkinson, Forest Whitaker, Garrett Hedlund",09-06-2020,19-02-2021,Magnolia Pictures
81,Collective,1-2 hour,Alexander Nanau,"Antoaneta Opris, Alexander Nanau","Tedy Ursuleanu, Razvan Lutac, Catalin Tolontan, Mirela Neag",20-11-2020,19-02-2021,
