moviesID,Title,IMDb Score,Rotten Tomatoes Score,Metacritic Score
495,Godzilla vs. Biollante,6.6,71,
496,Godzilla vs. King Ghidorah,6.6,56,
497,Godzilla & Mothra: Battle for Earth,6.4,76,62
498,Godzilla Raids Again,5.9,60,
499,Godzilla vs. Mechagodzilla II,6.6,83,
500,Godzilla vs. Mechagodzilla,6.4,71,
501,Godzilla vs. Hedorah,6.1,58,
502,Godzilla vs. Gigan,5.7,67,
503,Godzilla,6.4,76,62
504,Godzilla Against Mechagodzilla,6.7,70,
505,Godzilla vs. Megaguirus,6.2,60,
506,Glasses,6.8,,
507,Ghidorah: The Three Headed Monster,6.7,75,
508,Destroy All Monsters,6.6,75,
509,Boys,7.4,80,
510,Bandage,6.7,,
511,The Scent of Burning Grass,8.2,,
512,Fiction.,8.9,92,94
513,The Guest,6.7,91,76
514,Ava,5.4,,39
515,Rust Creek,5.9,84,59
516,Respiro,7,76,65
517,Princess Sarah,7.9,,
518,The Embalmer,7,81,71
519,Eye of the Sun,6.9,,
520,Two Women,7.8,88,
521,Consequences of Love,7.5,83,
522,Bob & Marys - Criminali a domicilio,7.4,,
523,A Perfect Day,6.8,72,60
524,A Gift,7.2,,
525,Scent of Love,6.6,,
526,Go Ahead,8.6,,
527,Pitch,7.4,,
528,October Sonata,6.7,,
529,One More Chance,7.4,92,
530,Remember When,7.5,,
531,Rompis,7.9,,
532,Sunny: Our Hearts Beat Together,6.8,,
533,That Girl in Pinafore,7.2,,
534,Titus: Mystery of the Enygma,8,,
535,When Will You Get Married?,7.3,,
536,You Are My Sunshine,7,,
537,Hello World,6.8,,
538,Go Eight,6.9,,
539,Farewell Song,6.9,,
540,Every Day A Good Day,7.1,,
541,Distance,6.9,80,58
542,City Sharks,7.1,,
543,Chrisye,7.3,,
544,Cafe Funiculi Funicula,6.9,57,
545,A Very English Scandal,7.7,,
546,Satellite Boy,6.6,100,
547,The Sisters Brothers,7,87,78
548,Toomelah,6.2,100,
549,All About the Benjamins,5.9,30,34
550,The Man Who Killed Don Quixote,6.4,64,58
551,Rebecka Martinsson,7.2,,
552,Deliver Us,6.4,,63
553,Scandalous,6,59,
554,Tesla,5,,67
555,The Informer,6.6,62,61
556,Go Fish,5.6,80,
557,Dantes Inferno,7.5,,
558,The Uncanny Counter,8.1,,
559,Larry the Cable Guy: Remain Seated,6.7,,
560,Primal,4.9,75,
561,True History of the Kelly Gang,6,79,75
